Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, 3.7743e-01, -3.5511e-02
-0.0000e+00, 1.3585e-02, -5.7466e-03
-0.0000e+00, 8.6687e-05, -9.9624e-04
-0.0000e+00, -2.0279e-04, -9.7922e-04
-0.0000e+00, 3.3235e-04, 9.4316e-04
-0.0000e+00, -4.2341e-04, -9.0594e-04
-0.0000e+00, 1.2179e-03, 2.0796e-03
-0.0000e+00, 2.6284e-02, 3.7005e-02
-0.0000e+00, 1.9438e-01, 2.4596e-01
-0.0000e+00, -5.0811e-01, -6.2296e-01
-0.0000e+00, 7.1951e-01, 6.9448e-01
-0.0000e+00, 8.5797e-01, 5.1371e-01
-0.0000e+00, 9.3544e-01, 3.5349e-01
-0.0000e+00, 9.9990e-01, 1.4100e-02
-0.0000e+00, -9.9981e-01, -1.9591e-02
-0.0000e+00, 1.0000e+00, 1.2660e-03
-0.0000e+00, 3.7177e-01, -6.4928e-02
-0.0000e+00, 1.0889e-02, -7.7064e-03
-0.0000e+00, 3.6794e-04, -9.2985e-04
-0.0000e+00, 2.5793e-05, -9.9967e-04
-0.0000e+00, -1.6445e-04, -9.8638e-04
-0.0000e+00, -2.8039e-04, -9.5989e-04
-0.0000e+00, 3.6794e-04, 9.2985e-04
-0.0000e+00, 5.2888e-04, 1.0627e-03
-0.0000e+00, 1.3616e-02, 2.2419e-02
-0.0000e+00, 1.2515e-01, 1.7285e-01
-0.0000e+00, 5.3990e-01, 5.8492e-01
-0.0000e+00, 7.8981e-01, 6.1335e-01
-0.0000e+00, 8.6052e-01, 5.0941e-01
-0.0000e+00, 9.9993e-01, 1.2240e-02
-0.0000e+00, 9.9981e-01, 1.9459e-02
-0.0000e+00, 9.9999e-01, -5.2570e-03
-0.0000e+00, 3.6605e-01, -8.2817e-02
-0.0000e+00, 8.5843e-03, -7.8761e-03
-0.0000e+00, 3.6794e-04, -9.2985e-04
-0.0000e+00, 9.9631e-05, -9.9502e-04
-0.0000e+00, -5.8171e-05, -9.9831e-04
-0.0000e+00, -1.5359e-04, -9.8813e-04
-0.0000e+00, 2.2096e-04, 9.7528e-04
-0.0000e+00, 2.8000e-04, 9.6000e-04
-0.0000e+00, 3.3895e-04, 9.4081e-04
-0.0000e+00, 4.9317e-03, 1.1049e-02
