Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, 9.5764e-01, 2.8796e-01
-0.0000e+00, 8.4726e-01, 5.3119e-01
-0.0000e+00, 7.4129e-01, 6.7118e-01
-0.0000e+00, 6.8899e-01, 7.2477e-01
-0.0000e+00, 6.6051e-01, 7.5082e-01
-0.0000e+00, 6.5742e-01, 7.5352e-01
-0.0000e+00, 6.7495e-01, 7.3786e-01
-0.0000e+00, 7.2138e-01, 6.9254e-01
-0.0000e+00, -8.3449e-01, -5.5103e-01
-0.0000e+00, 9.3858e-01, 3.4506e-01
-0.0000e+00, -9.7376e-01, -2.2758e-01
-0.0000e+00, -9.9309e-01, -1.1732e-01
-0.0000e+00, 9.9988e-01, -1.5229e-02
-0.0000e+00, 9.9965e-01, -2.6567e-02
-0.0000e+00, -9.9947e-01, 3.2587e-02
-0.0000e+00, 9.9958e-01, 2.9046e-02
-0.0000e+00, 9.6237e-01, 2.7174e-01
-0.0000e+00, 8.2210e-01, 5.6934e-01
-0.0000e+00, 6.9131e-01, 7.2256e-01
-0.0000e+00, 6.4077e-01, 7.6774e-01
-0.0000e+00, 6.4689e-01, 7.6259e-01
-0.0000e+00, 6.7118e-01, 7.4130e-01
-0.0000e+00, -6.7222e-01, -7.4035e-01
-0.0000e+00, -6.5803e-01, -7.5299e-01
-0.0000e+00, 7.4263e-01, 6.6970e-01
-0.0000e+00, -8.8856e-01, -4.5875e-01
-0.0000e+00, 9.6839e-01, 2.4944e-01
-0.0000e+00, 9.9236e-01, 1.2338e-01
-0.0000e+00, -9.9985e-01, 1.7592e-02
-0.0000e+00, -9.9977e-01, 2.1591e-02
-0.0000e+00, 9.9965e-01, -2.6557e-02
-0.0000e+00, 1.0000e+00, 8.8740e-04
-0.0000e+00, 9.7861e-01, 2.0572e-01
-0.0000e+00, 6.8434e-01, 7.2916e-01
-0.0000e+00, -5.2627e-01, -8.5032e-01
-0.0000e+00, -5.1688e-01, -8.5606e-01
-0.0000e+00, -5.5902e-01, -8.2915e-01
-0.0000e+00, 6.1808e-01, 7.8612e-01
-0.0000e+00, 6.5622e-01, 7.5457e-01
-0.0000e+00, 6.5319e-01, 7.5719e-01
-0.0000e+00, -6.6628e-01, -7.4571e-01
-0.0000e+00, -7.9208e-01, -6.1042e-01
-0.0000e+00, 9.2814e-01, 3.7222e-01
-0.0000e+00, -9.7770e-01, -2.1002e-01
-0.0000e+00, -9.9994e-01, -1.0592e-02
-0.0000e+00, -9.9993e-01, -1.1592e-02
-0.0000e+00, 1.0000e+00, 3.0860e-04
-0.0000e+00, 9.9560e-01, -9.3672e-02
-0.0000e+00, 9.2098e-01, -3.8960e-01
-0.0000e+00, 8.6687e-02, -9.9624e-01
-0.0000e+00, -2.0279e-01, -9.7922e-01
-0.0000e+00, 3.3235e-01, 9.4316e-01
-0.0000e+00, -4.2341e-01, -9.0594e-01
-0.0000e+00, 5.0536e-01, 8.6291e-01
-0.0000e+00, 5.7908e-01, 8.1527e-01
-0.0000e+00, 6.2004e-01, 7.8457e-01
-0.0000e+00, -6.3206e-01, -7.7492e-01
-0.0000e+00, 7.1951e-01, 6.9448e-01
-0.0000e+00, 8.5797e-01, 5.1371e-01
-0.0000e+00, 9.3544e-01, 3.5349e-01
-0.0000e+00, 9.9990e-01, 1.4100e-02
-0.0000e+00, -9.9981e-01, -1.9591e-02
-0.0000e+00, 1.0000e+00, 1.2660e-03
-0.0000e+00, 9.8509e-01, -1.7204e-01
-0.0000e+00, 8.1625e-01, -5.7769e-01
-0.0000e+00, 3.6794e-01, -9.2985e-01
-0.0000e+00, 2.5793e-02, -9.9967e-01
-0.0000e+00, -1.6445e-01, -9.8638e-01
-0.0000e+00, -2.8039e-01, -9.5989e-01
-0.0000e+00, 3.6794e-01, 9.2985e-01
-0.0000e+00, 4.4556e-01, 8.9525e-01
-0.0000e+00, 5.1910e-01, 8.5471e-01
-0.0000e+00, 5.8647e-01, 8.0997e-01
-0.0000e+00, 6.7826e-01, 7.3482e-01
-0.0000e+00, 7.8981e-01, 6.1335e-01
-0.0000e+00, 8.6052e-01, 5.0941e-01
-0.0000e+00, 9.9993e-01, 1.2240e-02
-0.0000e+00, 9.9981e-01, 1.9459e-02
-0.0000e+00, 9.9999e-01, -5.2570e-03
-0.0000e+00, 9.7535e-01, -2.2067e-01
-0.0000e+00, 7.3685e-01, -6.7606e-01
-0.0000e+00, 3.6794e-01, -9.2985e-01
-0.0000e+00, 9.9631e-02, -9.9502e-01
-0.0000e+00, -5.8171e-02, -9.9831e-01
-0.0000e+00, -1.5359e-01, -9.8813e-01
-0.0000e+00, 2.2096e-01, 9.7528e-01
-0.0000e+00, 2.8000e-01, 9.6000e-01
-0.0000e+00, 3.3895e-01, 9.4081e-01
-0.0000e+00, 4.0757e-01, 9.1317e-01
